AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
KLM AIRLINES;FOREIGN;5469;6817;160259;443503;10/09/2011
KOREAN AIR;FOREIGN;1489;2120;55138;96859;02/09/2013
KUWAIT AIRWAYS;FOREIGN;18932;26610;303912;110606;07/03/2017
LUFTHANSA;FOREIGN;36116;55902;34086;3306063;26/09/2017
MAHAN AIR;FOREIGN;731;1428;45;129379;18/06/2011
MALAYSIA AIRLINES;FOREIGN;42293;43124;1328499;1278004;17/03/2017
MALINDO AIRWAYS;FOREIGN;17667;17220;0;0;21/04/2016
MIHIN LANKA;FOREIGN;3149;3591;0;0;06/09/2017
MYANMAR AIRLINES;FOREIGN;524;904;0;0;31/10/2014
NEPAL AIRLINES CORPORATION;FOREIGN;2740;2723;81;0;08/01/2014
OMAN AIR;FOREIGN;51110;61587;117628;925602;30/01/2012
PAK INTERNATIONAL;FOREIGN;972;2473;8434;27409;09/05/2012
QATAR AIRWATYS;FOREIGN;70970;85029;3567562;6268321;07/02/2014
REGENT AIRWAYS;FOREIGN;2803;2782;0;0;28/09/2015
SAFI AIRWAYS;FOREIGN;2007;1721;56;26538;18/08/2013
SAUDIA;FOREIGN;56687;67640;153452;2632049;26/03/2016
SILK AIR;FOREIGN;13977;17436;40169;147422;25/07/2012
SINGAPORE AIRLINES;FOREIGN;47382;55130;2675245;2503876;27/02/2010
SRILNKAN AIRWAYS;FOREIGN;49115;57669;517487;1426901;29/07/2011
SWISS AIR;FOREIGN;8509;13362;643436;947018;06/03/2011
TAJIK AIR;FOREIGN;2012;0;0;0;19/02/2011
THAI AIRWAYS;FOREIGN;49944;55506;2298751;1526522;31/03/2015
TIGER AIRWAYS;FOREIGN;24913;25395;89334;321742;25/04/2017
TRANSAERO AIRLINES;FOREIGN;2890;4042;241;78342;09/02/2017
TURKISH AIRLINES;FOREIGN;13261;17516;600784;1143289;09/12/2011
TURKMENISTAN AIRLINES;FOREIGN;2401;5114;0;12674;07/01/2012
UNITED AIRLINES;FOREIGN;11755;14912;282537;364462;14/11/2011
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;1077;1240;0;0;15/10/2017
UNITED PARCEL SERVICES;FOREIGN;0;0;557364;50004;18/01/2011
UZBEKISTAN AIRWAYS;FOREIGN;3534;4630;202878;658552;23/06/2017
VIRGIN ATLANTIC AIRLINES;FOREIGN;4264;7260;284363;334767;11/12/2017
YEMENIA AIRWAYS;FOREIGN;0;0;0;0;28/04/2014
AIR INDIA;DOMESTIC;222994;251497;3357024;476977;09/07/2010
AIR INDIA EXPRESS;DOMESTIC;117266;122448;0;0;24/11/2015
INDIGO;DOMESTIC;73260;73799;4606142;52477273;28/02/2012
JET AIRWAYS;DOMESTIC;295978;311967;422210908;622634836;08/10/2017
SPICEJET;DOMESTIC;44465;50169;0;2643112;26/08/2011
AEROFLOT;FOREIGN;4108;6933;14228;322291;31/07/2010
AEROLOGIC;FOREIGN;0;0;1793;1818;11/03/2016
AIR ARABIA;FOREIGN;75183;80255;131837;1191691;25/04/2014
AIR ASIA BERHAD;FOREIGN;21707;20546;59635;263409;21/10/2013
AIR AUSTRAL;FOREIGN;293;326;1364;2727;14/08/2014
AIR CHINA;FOREIGN;1572;2634;114702;114399;26/08/2014
AIR FRANCE;FOREIGN;12973;16182;596367;1141588;10/05/2015
AIR MANAS;FOREIGN;399;566;0;26238;15/04/2016
AIR MAURITIUS;FOREIGN;8840;10107;18362;317094;21/05/2010
AIR ASTANA;FOREIGN;1212;1807;2612;35661;29/09/2016
AIR SEYCHELLES;FOREIGN;1351;1723;493;4594;07/04/2014
ALL NIPPON AIRWAYS;FOREIGN;3319;5575;400563;42838;04/07/2013
ARIANA AFGHAN;FOREIGN;1237;1865;17;26459;02/09/2016
ASIANA AIRLINES;FOREIGN;2040;2482;23896;7492;05/11/2010
AUSTRIAN AIRLINES;FOREIGN;2549;5375;163777;191233;19/12/2011
BANGKOK AIRWAYS;FOREIGN;3951;4471;3594;54869;06/07/2016
BHUTAN AIRLINES;FOREIGN;2649;2613;0;0;19/07/2010
BIMAN BANGLADESH;FOREIGN;2969;3498;196;574;03/07/2012
BRITISH AIRWAYS;FOREIGN;36068;47572;1557;3078;25/08/2017
BUDHHA AIR;FOREIGN;0;0;0;0;17/02/2017
CATHAY PACIFIC;FOREIGN;63244;70860;7889609;5543726;21/01/2017
CHINA AIRLINES LTD;FOREIGN;750;5081;83202;86403;18/06/2012
CHINA EASTERN AIRLINES;FOREIGN;7550;8493;310059;320743;22/06/2016
CHINA SOUTHERN ;FOREIGN;5368;6434;32191;45193;29/05/2017
DRAGON AIR;FOREIGN;8501;8012;17234;275782;28/01/2018
DRUK AIR;FOREIGN;3358;3821;284;4961;12/07/2011
EGYPT AIR;FOREIGN;1117;1920;31629;19709;03/05/2014
EL-AL-ISRAEL;FOREIGN;2002;2334;6392;111105;19/03/2012
